dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,hand_motion_database,index_data,IndexDist_X,11,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexDist_Y,12,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexDist_Z,13,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexDistRotation_P,15,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexDistRotation_R,14,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexDistRotation_Y,16,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexId,1,int,\N,UNIQUE,\N,\N,\N
mysql,hand_motion_database,index_data,IndexId,1,int,\N,FOREIGN KEY,hand_motion_database,source_data,Id
mysql,hand_motion_database,index_data,IndexInter_X,8,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexInter_Y,9,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexInter_Z,10,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexMeta_X,2,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexMeta_Y,3,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexMeta_Z,4,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexProx_X,5,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexProx_Y,6,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,index_data,IndexProx_Z,7,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleDist_X,11,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleDist_Y,12,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleDist_Z,13,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleDistRotation_P,15,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleDistRotation_R,14,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleDistRotation_Y,16,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleId,1,int,\N,UNIQUE,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleId,1,int,\N,FOREIGN KEY,hand_motion_database,source_data,Id
mysql,hand_motion_database,middle_data,MiddleInter_X,8,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleInter_Y,9,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleInter_Z,10,float,\N,\N,\N,\N,\N
mysql,hand_motion_database,middle_data,MiddleMeta_X,2,float,\N,\N,\N,\N,\N
